epoch,loss_g,loss_d,sensitivity,specificity,false_positive_rate,precision,dice_score,balanced_accuracy,smooth_dice_loss,mae,datetime
420,0.7395722270011902,-0.47862526774406433,0.7731963992118835,0.9932130575180054,0.006786882411688566,0.7815910577774048,0.7631393671035767,0.8832045793533325,0.260946661233902,0.014229075983166695,2019-07-04 00:39:31.423352
421,0.7229589223861694,-0.4790777266025543,0.7817398905754089,0.994239866733551,0.005760279018431902,0.8091678023338318,0.7831586003303528,0.8879896998405457,0.24388115108013153,0.01272179652005434,2019-07-04 00:41:33.760864
422,0.714681088924408,-0.4725073277950287,0.7925353646278381,0.9938156008720398,0.006184504367411137,0.8018972277641296,0.7872002124786377,0.8931757807731628,0.2421739250421524,0.012710916809737682,2019-07-04 00:43:36.557404
423,0.7433707118034363,-0.47279706597328186,0.7601657509803772,0.9938004016876221,0.006199593190103769,0.7958728075027466,0.756316065788269,0.8769833445549011,0.27057385444641113,0.013853305950760841,2019-07-04 00:45:39.553307
424,0.7365219593048096,-0.4803478419780731,0.7748371958732605,0.9936416149139404,0.006358212325721979,0.7914213538169861,0.7735814452171326,0.8842392563819885,0.25617414712905884,0.01350321713835001,2019-07-04 00:47:42.209960
425,0.7634329795837402,-0.4855325222015381,0.7307552695274353,0.9921244978904724,0.007875734008848667,0.7490894198417664,0.7165027856826782,0.8614397644996643,0.2779006361961365,0.016333360224962234,2019-07-04 00:49:44.630434
426,0.7480064630508423,-0.48059871792793274,0.7671301364898682,0.9937458634376526,0.0062537891790270805,0.7966139912605286,0.7663310170173645,0.8804378509521484,0.26740747690200806,0.013792063109576702,2019-07-04 00:51:47.047065
427,0.7229931354522705,-0.47630575299263,0.785351574420929,0.9936763048171997,0.006323420908302069,0.7972694039344788,0.7808690667152405,0.8895143270492554,0.2466869056224823,0.01316780224442482,2019-07-04 00:53:49.510963
428,0.7375821471214294,-0.48027464747428894,0.7546727657318115,0.9939388036727905,0.006061289459466934,0.7972825765609741,0.7610227465629578,0.8743059039115906,0.2573072910308838,0.013686955906450748,2019-07-04 00:55:51.846878
429,0.7266904711723328,-0.48166435956954956,0.8081620335578918,0.9932135939598083,0.006785731762647629,0.7885602116584778,0.7885918021202087,0.9006876945495605,0.24502627551555634,0.01291918009519577,2019-07-04 00:57:54.665825
430,0.7410933375358582,-0.4870798587799072,0.768973171710968,0.9939956068992615,0.006004575174301863,0.8042715191841125,0.773594319820404,0.8814846873283386,0.25401321053504944,0.013321644626557827,2019-07-04 00:59:56.880784
431,0.7444505095481873,-0.49915874004364014,0.7863630056381226,0.9938111305236816,0.00618931045755744,0.7987957000732422,0.781115710735321,0.8900868892669678,0.24529173970222473,0.013017527759075165,2019-07-04 01:01:59.390755
432,0.7501929402351379,-0.4913898706436157,0.7649112939834595,0.9934755563735962,0.006524710450321436,0.7987079620361328,0.7634715437889099,0.879193127155304,0.25880351662635803,0.01376112550497055,2019-07-04 01:04:01.576992
433,0.7663118839263916,-0.5101446509361267,0.7699321508407593,0.9928187131881714,0.007181612309068441,0.773094117641449,0.7553441524505615,0.8813749551773071,0.25616714358329773,0.014332608319818974,2019-07-04 01:06:04.241371
434,0.7818759679794312,-0.4996606409549713,0.7428586483001709,0.9927806854248047,0.007219376973807812,0.7673597931861877,0.7237735986709595,0.8678196668624878,0.2822151780128479,0.015348001383244991,2019-07-04 01:08:07.685132
435,0.736896276473999,-0.489370197057724,0.7787430882453918,0.993675947189331,0.0063242423348128796,0.7939556837081909,0.7769749164581299,0.8862095475196838,0.24752594530582428,0.013247009366750717,2019-07-04 01:10:10.441337
436,0.7436782121658325,-0.49641790986061096,0.790296733379364,0.9929986596107483,0.007001332473009825,0.7853764891624451,0.7750288248062134,0.8916478753089905,0.24726015329360962,0.013643483631312847,2019-07-04 01:12:13.390763
437,0.7518600821495056,-0.5018114447593689,0.8005098700523376,0.9923837780952454,0.00761650362983346,0.7748410105705261,0.7756631374359131,0.8964463472366333,0.25004851818084717,0.013913135044276714,2019-07-04 01:14:15.686774
438,0.718062162399292,-0.47432371973991394,0.7762097716331482,0.9935491681098938,0.0064505524933338165,0.790343165397644,0.7722584009170532,0.8848791718482971,0.24373787641525269,0.013624557293951511,2019-07-04 01:16:18.370054
439,0.7392544150352478,-0.4950326383113861,0.7906433343887329,0.994033694267273,0.005965887568891048,0.8046108484268188,0.7877771258354187,0.8923388719558716,0.24422137439250946,0.012733840383589268,2019-07-04 01:18:20.780675
440,0.7491912841796875,-0.4877169132232666,0.7558767199516296,0.9927276968955994,0.0072724889032542706,0.7664441466331482,0.7497667074203491,0.874302089214325,0.2614746391773224,0.015231117606163025,2019-07-04 01:20:23.167180
441,0.7486432790756226,-0.503621518611908,0.7993473410606384,0.9928413033485413,0.007159027736634016,0.7727622389793396,0.7777785062789917,0.8960941433906555,0.24502205848693848,0.013635293580591679,2019-07-04 01:22:25.324326
442,0.7837597131729126,-0.5220471024513245,0.7696303725242615,0.9935427904129028,0.006457123439759016,0.7924795746803284,0.7644597291946411,0.8815869092941284,0.26171284914016724,0.014134208671748638,2019-07-04 01:24:27.796447
